title,link,company,published_date,ai_summary,ai_topic,publisher,industry,publisher_topic
On Transactions Under Regulation No 596/2014,https://view.news.eu.nasdaq.com/view?id=b0d14dd0b2170addecf66d727d7b5dada&lang=en&src=listed,MADARA Cosmetics,2024-09-24 17:00:00+03:00,"In a thrilling move, AS MADARA Cosmetics announces a high-stakes notification from Sustainability Manager Anete Vabule! Known for pioneering natural skincare in Latvia, the company is making waves on the Nasdaq Baltic First North Market. Stay tuned as they uphold their leadership in eco-chic beauty!",exchange_announcement,Nasdaq Baltic,,
Dividend payment ex-date of AS DelfinGroup,https://view.news.eu.nasdaq.com/view?id=b874cc20ce7f67c6fa650de64794f245e&lang=en&src=listed,DelfinGroup,2024-09-24 16:42:27+03:00,"In a thrilling financial showdown, AS DelfinGroup declares a dividend of €0.0202 per share, set to hit accounts on October 1, 2024! Mark your calendars: the ex-date is September 27, 2024! Only shareholders by then will score this sweet payout from Q2 profits! Stay tuned for more action!",ex_dividend_date,Nasdaq Baltic,,
Financial Data for the First Half of 2024 of “Capitalica Z114 Real Estate Fund”,https://view.news.eu.nasdaq.com/view?id=b054ae24132ec127ce1b824b05925bb01&lang=en&src=listed,CAPITALICA Z114 REAL ESTATE FUND,2024-09-24 16:40:55+03:00,"In the heart of Vilnius, UAB ""Capitalica Z114 Real Estate Fund"" is making waves! They're constructing the sleek ""Sand Offices,"" a seven-story A-class business hub spanning 10,200 square meters. Backed by Capitalica Asset Management, this powerhouse is reshaping the Baltic skyline and pushing commercial real estate to new heights!",capital_investment,Nasdaq Baltic,,
Tallinna Vesi: the electricity price increase changes the price of water services by one cent,https://view.news.eu.nasdaq.com/view?id=b3ac48627c20e61f72257dfa5edd87c08&lang=en&src=listed,Tallinna Vesi,2024-09-24 15:22:10+03:00,"In a bold move, Tallinna Vesi announces a price increase for water services starting November 1st, spiking by a penny per cubic meter! Blame rising electricity costs—up 19%! CEO Timofejev emphasizes the relentless demand for clean water drives this need for adjustment. Water’s play just got a bit pricier!",regulatory_filings,Nasdaq Baltic,,
Listing of AS DelfinGroup bonds on Baltic Bond List,https://view.news.eu.nasdaq.com/view?id=bae8d499783bc34945de65180570cb4cb&lang=en&src=notices,Nasdaq Riga,2024-09-24 14:43:08+03:00,"Hold onto your seats, finance fans! Nasdaq Riga makes a thrilling announcement—AS DelfinGroup bonds are hitting the Baltic Bond list starting September 25, 2024! Check out the prospectus and get ready for an electrifying addition to the market! It’s game on for investors!",bond_fixing,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 23, 2024",https://view.news.eu.nasdaq.com/view?id=baf58824862a5f881196bab6c6009b0ff&lang=en&src=listed,Nter Asset Management,2024-09-24 09:39:47+03:00,"And we’re live from Vilnius, where the OMX Baltic Benchmark Fund is holding steady with a share price of 12.5617 EUR! No movement on shares issued or redeemed—staying strong with 125,362 units in play. It's a game of patience today for Nter Asset Management!",fund_data_announcement,Nasdaq Baltic,,
EfTEN REAL ESTATE FUND AS NOTICE CALLING THE EXTRAORDINARY GENERAL MEETING OF SHAREHOLDERS,https://view.news.eu.nasdaq.com/view?id=b985c5b1cbfc4b27f0a1490e6bb083658&lang=en&src=listed,EfTEN Real Estate Fund,2024-09-24 08:00:00+03:00,"Ladies and gentlemen, mark your calendars! On October 16, 2024, the EfTEN Real Estate Fund’s extraordinary general meeting kicks off at the stunning Radisson Collection Hotel! Registration starts at 14:00, and you won’t want to miss this critical showdown! Be there or be square! ",calendar_of_events,Nasdaq Baltic,,
Eleving Group invites to the Investor calls on September 25 and October 2 regarding the IPO,https://view.news.eu.nasdaq.com/view?id=b6157319e5e2ba73a4b03b9238d9de608&lang=en&src=listed,Eleving Group,2024-09-23 15:07:13+03:00,"Ladies and gentlemen, mark your calendars! Eleving Group is set to host thrilling Investor Calls on September 25 and October 2, 2024. Join CEO Modestas Sudnius and CFO Maris Kreics as they unveil their growth story and IPO excitement! Questions welcomed—don’t miss your chance to engage!",initial_public_offering,Nasdaq Baltic,,
Margo Ojapervs joins CleanR Verso Board,https://view.news.eu.nasdaq.com/view?id=b4b957f7774d7465717b29e9e78113e71&lang=en&src=listed,CleanR Grupa,2024-09-23 14:57:09+03:00,"In a thrilling management shake-up, Margo Ojapervs steps up to the CleanR Verso board, bringing powerhouse production expertise from industry giants! Meanwhile, Jānis Reinfelds keeps the momentum going with over a decade in management. Fresh leadership meets cutting-edge waste sorting tech—stay tuned for the game-changing moves!",management_change,Nasdaq Baltic,,
UAB Partnerystės projektai keturi 2024 first half financial statements,https://view.news.eu.nasdaq.com/view?id=bbc47905db4ad38ec9c5cbad0a0560785&lang=en&src=listed,Partnerystes projektai keturi,2024-09-23 14:33:48+03:00,"In a thrilling six-month showdown, UAB Partnerystės projektai triumphs with a successful project hand-over to Lithuania's Ministry of National Defence! Mark your calendars for the October 28th showdown—50% repayment of Notes plus interest is on the line! Compliance Certificate secured—this game is heating up!",financial_results,Nasdaq Baltic,,
23.09.2024 Moody's publishes an updated credit analysis of Latvenergo AS,https://view.news.eu.nasdaq.com/view?id=b3bce1a6785a1fbf775060cc4165a477f&lang=en&src=listed,Latvenergo,2024-09-23 14:10:52+03:00,"In a thrilling update from Riga, Moody's has affirmed Latvenergo AS's credit rating at Baa2, maintaining a stable outlook! This powerhouse energy supplier in the Baltics continues its winning streak, holding the same rating since 2015. Investors are cheering—Latvenergo shows resilience in the energy game!",analyst_coverage,Nasdaq Baltic,,
The results of the primary placement auction of Lithuanian Government securities,https://view.news.eu.nasdaq.com/view?id=b4f119d33d5c2178558c5234b114c9d45&lang=en&src=notices,Nasdaq Vilnius,2024-09-23 12:11:00+03:00,"In a thrilling showdown at Nasdaq Vilnius, the Lithuanian Government secured additional contributions in a high-stakes primary placement auction! These hot securities are set to debut on the regulated market, marking a significant play in the Baltic investment arena. Stay tuned for the next big move!",bond_fixing,Nasdaq Baltic,,
Eleving Group - start of the Initial Public Offering (IPO),https://view.news.eu.nasdaq.com/view?id=b1e7a32651dd7ffb052c84dae717d6d6d&lang=en&src=listed,Eleving Group,2024-09-23 10:00:00+03:00,"Get ready for some high-stakes action! Eleving Group kicks off its IPO today, going big with up to 16.9 million new shares and 6 million existing ones! Trading on Nasdaq Riga and Frankfurt starts around October 16. Don't miss out as they aim for EUR 1.60 to 1.85 per share!",initial_public_offering,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 20, 2024",https://view.news.eu.nasdaq.com/view?id=bda9ba07ae4656e796d685ef4d86cb6e1&lang=en&src=listed,Nter Asset Management,2024-09-23 09:51:06+03:00,"In a riveting update from Vilnius, the OMX Baltic Benchmark Fund reports its share price at a solid 12.5865 EUR as of September 20, 2024! No shares issued or redeemed, but a strong total of 125,362 units stands ready for action! What a thrilling day in the financial arena!",fund_data_announcement,Nasdaq Baltic,,
Nasdaq Baltic investor calendar - week 39/2024,https://view.news.eu.nasdaq.com/view?id=b17694aaf03a92a5f419c89ebf64b0c19&lang=en&src=notices,Nasdaq Tallinn,2024-09-23 09:00:00+03:00,"Welcome to the thrilling arena of Nasdaq Baltic, where exchanges ignite the financial landscape of Estonia, Latvia, and Lithuania! For the latest game-changing investor updates, check out the full calendar online. Don't miss out—this is where market action and opportunity collide! 🏆📈",financial_calendar,Nasdaq Baltic,,
Nasdaq Baltic investor calendar - week 39/2024,https://view.news.eu.nasdaq.com/view?id=ba4c00a1fa7458bc6bff9a7c9083b7676&lang=en&src=notices,Nasdaq Vilnius,2024-09-23 09:00:00+03:00,"🏀 Welcome to the Nasdaq Baltic showdown! Investors, mark your calendars for action-packed updates from Lithuania, Latvia, and Estonia! For thrilling insights and stats, visit Nasdaq Baltic's exciting hub. Call in, tune up, and stay connected—you won't want to miss the competition unfold! 📈💥",financial_calendar,Nasdaq Baltic,,
Nasdaq Baltic investor calendar - week 39/2024,https://view.news.eu.nasdaq.com/view?id=b3a4057ce68ebc78285ad2daa302ca538&lang=en&src=notices,Nasdaq Riga,2024-09-23 09:00:00+03:00,"Live from Riga, it's game time for investors! The Nasdaq Baltic league is buzzing with action as exchanges in Latvia, Lithuania, and Estonia gear up for a thrilling season! Don’t miss the play-by-play on the investor calendar. Get in the game at nasdaqbaltic.com!",financial_calendar,Nasdaq Baltic,,
CORRECTION: Eleving Group shares public offering,https://view.news.eu.nasdaq.com/view?id=b2123837b1d137ffa73127d20cd525bfc&lang=en&src=notices,Nasdaq Riga,2024-09-20 20:30:00+03:00,"Get ready for the showdown! Starting September 23, 2024, Eleving Group launches its public offering, inviting retail investors to grab shares at just EUR 1.85! With up to 24.5 million shares up for grabs, the excitement builds as the subscription window races towards the final whistle on October 8! Don’t miss out!",initial_public_offering,Nasdaq Baltic,,
CORRECTION: Eleving Group shares public offering,https://view.news.eu.nasdaq.com/view?id=b8c2f934f96632ab1ec60f394c0c1c436&lang=en&src=notices,Nasdaq Tallinn,2024-09-20 20:30:00+03:00,"Ladies and gentlemen, get ready for the Eleving Group IPO showdown! Starting September 23rd, 2024, you can grab shares at just EUR 1.85! With a staggering 24.5 million shares on the line, the action heats up until October 8th. Don’t miss your chance in this high-stakes market!",initial_public_offering,Nasdaq Baltic,,
CORRECTION: Eleving Group shares public offering,https://view.news.eu.nasdaq.com/view?id=b19f3b27b067730e85e5239e595e5da59&lang=en&src=notices,Nasdaq Vilnius,2024-09-20 20:30:00+03:00,"Get ready for the investment showdown! Starting September 23, 2024, Eleving Group launches its electrifying public offer, aiming to sell 24.5 million shares at just €1.85 each. Hurry, the clock's ticking—subscriptions close October 8! Don’t miss your chance to join this thrilling market race!",initial_public_offering,Nasdaq Baltic,,
Eleving Group shares public offering,https://view.news.eu.nasdaq.com/view?id=b492425f9d2ddef4a4924a03b1b18cec5&lang=en&src=notices,Nasdaq Riga,2024-09-20 17:10:00+03:00,"Ladies and gentlemen, it's game time! Starting September 23rd, Eleving Group kicks off its thrilling public offer! Investors can snag shares for just €1.85, with a whopping 24.5 million on the line! Will you take your shot before the deadline on October 8th? Don't miss this chance!",initial_public_offering,Nasdaq Baltic,,
