issuer,ticker,yf_ticker,isin,asset_class,exchange,exchange_code,country,url,sector
"Turbo Energy, S.A.",TURB,TURB,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/eNPmnXh2hQABygqB2IwtlQ==,altenergy
"High Wire Networks, Inc.",HWNI,HWNI,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/yRvzhfuDg4RGakV5ujb6UA==,altenergy
Sky Quarry Inc.,SKYQ,SKYQ,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/1urH5iomhawdDo9NZP_kjA==,altenergy
North American Construction Group Ltd.,NOA.TO,NOA.TO,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/Kr-pSTGoLEDmmEHfMbcBOw==,altenergy
Boralex Inc.,BLX.TO,BLX.TO,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/aWrcjA8NU-7uGI_je76Elg==,altenergy
Pineapple Energy Inc.,PEGY,PEGY,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/aj291h5KEmtOlQGYSZxIaQ==,altenergy
Scatec ASA,SCATC.OL,SCATC.OL,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/Fyj0cjL6mn7P9ulM25piQw==,altenergy
U.S. Solar Fund plc,SOLR.V,SOLR.V,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/QFrpuCExd6u-FQI0RqIBYQ==,altenergy
"Solid Power, Inc.",SLDP,SLDP,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/RKmDY_f_JDCG6gchHlvzFQ==,altenergy
Beam Global,BEEM,BEEM,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/uyBnb_0dD5NF3ezHCjQrwQ==,altenergy
Albioma SA,ALGBE.PA,ALGBE.PA,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/1YKDbYjy-dw19kWCE55_qA==,altenergy
Vicor Corporation,VICR,VICR,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/VWJleBep5lvwgs92jWAH8g==,altenergy
Candu Energy Inc.,CDR.TO,CDR.TO,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/BVWTaVTIxtobeOLXkTCZWw==,altenergy
Genie Energy Ltd.,GNE,GNE,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/0ojI3d3CEZ-nm7ggJQeMmQ==,altenergy
Merus Power Oyj,MERIH.HE,MERIH.HE,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/vddlGsjgLXKSGN8PvwjoOQ==,altenergy
CECO Environmental Corp.,CECO,CECO,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/ap01xmIdVHfsB-0PUTWU0g==,altenergy
Enlight Renewable Energy Ltd.,ENLT,ENLT,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/4yKwutAW-b4AX6t1zt7ACQ==,altenergy
DTE Energy Company,DTE,DTE,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/8bZqnD8BOEX5zEsbyml5tA==,altenergy
XCharge Inc.,XCH,XCH,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/y3v7mPnkRgA8lF1LHDSKeg==,altenergy
Soundtech Inc.,SDST,SDST,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/btFm_HOoIvlTiz6MW4F_Cg==,altenergy
Vistra Corp.,VSTE,VSTE,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/JYODRA0nsYJPQdst9nXvQw==,altenergy
"Clean Energy Technologies, Inc.",CETY,CETY,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/W6helO7og0uIXEuJMFDxDw==,altenergy
Evans Renewable Holdings Inc.,EVREC,EVREC,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/pqknK1hWiAiRdFBRA5nFYQ==,altenergy
Volcon Inc.,VLCN,VLCN,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/4TqlSZNpQKFxlBEY9UP7BA==,altenergy
Colonial Coal International Corp.,CNL,CNL,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/YSkb2UgIQDT19wE94fWK_g==,altenergy
Pinecrest Energy Inc.,PEI.V,PEI.V,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/mXWpWXfatp0t6ZyedaSBig==,altenergy
Questerre Energy Corporation,QEC.OL,QEC.OL,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/uc7TuYaiGMlHYefZqLZZFg==,altenergy
Centum Electronics Ltd.,CNTM,CNTM,,equity,nasdaq_us,NASDAQ,US,https://www.globenewswire.com/rssfeed/organization/THTMasTP5AM5TeUEuHiw3g==,altenergy
