title,link,company,published_date,publisher,industry,publisher_topic
Net asset value of the EfTEN United Property Fund as of 31.08.2024,https://view.news.eu.nasdaq.com/view?id=b9ba0f3f207b9ac020ad2ff1f366f77b5&lang=en&src=listed,EfTEN United Property Fund / EfTEN Capital,2024-09-25 08:15:00+03:00,Nasdaq Baltic,,
On Transactions Under Regulation No 596/2014,https://view.news.eu.nasdaq.com/view?id=b0d14dd0b2170addecf66d727d7b5dada&lang=en&src=listed,MADARA Cosmetics,2024-09-24 17:00:00+03:00,Nasdaq Baltic,,
Dividend payment ex-date of AS DelfinGroup,https://view.news.eu.nasdaq.com/view?id=b874cc20ce7f67c6fa650de64794f245e&lang=en&src=listed,DelfinGroup,2024-09-24 16:42:27+03:00,Nasdaq Baltic,,
Financial Data for the First Half of 2024 of “Capitalica Z114 Real Estate Fund”,https://view.news.eu.nasdaq.com/view?id=b054ae24132ec127ce1b824b05925bb01&lang=en&src=listed,CAPITALICA Z114 REAL ESTATE FUND,2024-09-24 16:40:55+03:00,Nasdaq Baltic,,
Tallinna Vesi: the electricity price increase changes the price of water services by one cent,https://view.news.eu.nasdaq.com/view?id=b3ac48627c20e61f72257dfa5edd87c08&lang=en&src=listed,Tallinna Vesi,2024-09-24 15:22:10+03:00,Nasdaq Baltic,,
Listing of AS DelfinGroup bonds on Baltic Bond List,https://view.news.eu.nasdaq.com/view?id=bae8d499783bc34945de65180570cb4cb&lang=en&src=notices,Nasdaq Riga,2024-09-24 14:43:08+03:00,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 23, 2024",https://view.news.eu.nasdaq.com/view?id=baf58824862a5f881196bab6c6009b0ff&lang=en&src=listed,Nter Asset Management,2024-09-24 09:39:47+03:00,Nasdaq Baltic,,
EfTEN REAL ESTATE FUND AS NOTICE CALLING THE EXTRAORDINARY GENERAL MEETING OF SHAREHOLDERS,https://view.news.eu.nasdaq.com/view?id=b985c5b1cbfc4b27f0a1490e6bb083658&lang=en&src=listed,EfTEN Real Estate Fund,2024-09-24 08:00:00+03:00,Nasdaq Baltic,,
Eleving Group invites to the Investor calls on September 25 and October 2 regarding the IPO,https://view.news.eu.nasdaq.com/view?id=b6157319e5e2ba73a4b03b9238d9de608&lang=en&src=listed,Eleving Group,2024-09-23 15:07:13+03:00,Nasdaq Baltic,,
Margo Ojapervs joins CleanR Verso Board,https://view.news.eu.nasdaq.com/view?id=b4b957f7774d7465717b29e9e78113e71&lang=en&src=listed,CleanR Grupa,2024-09-23 14:57:09+03:00,Nasdaq Baltic,,
UAB Partnerystės projektai keturi 2024 first half financial statements,https://view.news.eu.nasdaq.com/view?id=bbc47905db4ad38ec9c5cbad0a0560785&lang=en&src=listed,Partnerystes projektai keturi,2024-09-23 14:33:48+03:00,Nasdaq Baltic,,
23.09.2024 Moody's publishes an updated credit analysis of Latvenergo AS,https://view.news.eu.nasdaq.com/view?id=b3bce1a6785a1fbf775060cc4165a477f&lang=en&src=listed,Latvenergo,2024-09-23 14:10:52+03:00,Nasdaq Baltic,,
The results of the primary placement auction of Lithuanian Government securities,https://view.news.eu.nasdaq.com/view?id=b4f119d33d5c2178558c5234b114c9d45&lang=en&src=notices,Nasdaq Vilnius,2024-09-23 12:11:00+03:00,Nasdaq Baltic,,
Eleving Group - start of the Initial Public Offering (IPO),https://view.news.eu.nasdaq.com/view?id=b1e7a32651dd7ffb052c84dae717d6d6d&lang=en&src=listed,Eleving Group,2024-09-23 10:00:00+03:00,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 20, 2024",https://view.news.eu.nasdaq.com/view?id=bda9ba07ae4656e796d685ef4d86cb6e1&lang=en&src=listed,Nter Asset Management,2024-09-23 09:51:06+03:00,Nasdaq Baltic,,
Nasdaq Baltic investor calendar - week 39/2024,https://view.news.eu.nasdaq.com/view?id=b17694aaf03a92a5f419c89ebf64b0c19&lang=en&src=notices,Nasdaq Tallinn,2024-09-23 09:00:00+03:00,Nasdaq Baltic,,
Nasdaq Baltic investor calendar - week 39/2024,https://view.news.eu.nasdaq.com/view?id=ba4c00a1fa7458bc6bff9a7c9083b7676&lang=en&src=notices,Nasdaq Vilnius,2024-09-23 09:00:00+03:00,Nasdaq Baltic,,
Nasdaq Baltic investor calendar - week 39/2024,https://view.news.eu.nasdaq.com/view?id=b3a4057ce68ebc78285ad2daa302ca538&lang=en&src=notices,Nasdaq Riga,2024-09-23 09:00:00+03:00,Nasdaq Baltic,,
CORRECTION: Eleving Group shares public offering,https://view.news.eu.nasdaq.com/view?id=b19f3b27b067730e85e5239e595e5da59&lang=en&src=notices,Nasdaq Vilnius,2024-09-20 20:30:00+03:00,Nasdaq Baltic,,
CORRECTION: Eleving Group shares public offering,https://view.news.eu.nasdaq.com/view?id=b8c2f934f96632ab1ec60f394c0c1c436&lang=en&src=notices,Nasdaq Tallinn,2024-09-20 20:30:00+03:00,Nasdaq Baltic,,
CORRECTION: Eleving Group shares public offering,https://view.news.eu.nasdaq.com/view?id=b2123837b1d137ffa73127d20cd525bfc&lang=en&src=notices,Nasdaq Riga,2024-09-20 20:30:00+03:00,Nasdaq Baltic,,
Eleving Group shares public offering,https://view.news.eu.nasdaq.com/view?id=bda7f26e32d2427b7444e2c5f52e2dd89&lang=en&src=notices,Nasdaq Vilnius,2024-09-20 17:10:00+03:00,Nasdaq Baltic,,
Eleving Group shares public offering,https://view.news.eu.nasdaq.com/view?id=b492425f9d2ddef4a4924a03b1b18cec5&lang=en&src=notices,Nasdaq Riga,2024-09-20 17:10:00+03:00,Nasdaq Baltic,,
Eleving Group shares public offering,https://view.news.eu.nasdaq.com/view?id=b950e2130a6b2aae98f5bf73f5915a543&lang=en&src=notices,Nasdaq Tallinn,2024-09-20 17:10:00+03:00,Nasdaq Baltic,,
DelfinGroup announces fixing of coupon rate for the floating-rate bonds effective from 25 September 2024,https://view.news.eu.nasdaq.com/view?id=b35dd3728ce809c9a301511505cf79c59&lang=en&src=listed,DelfinGroup,2024-09-20 16:41:59+03:00,Nasdaq Baltic,,
Information regarding acquisition and disposal of a major holding,https://view.news.eu.nasdaq.com/view?id=bf8ce8b33bed3eaf0a9e09b8c0f61e506&lang=en&src=listed,SAF Tehnika,2024-09-20 16:26:05+03:00,Nasdaq Baltic,,
UAB Legal Balance financial information for 2024 H1,https://view.news.eu.nasdaq.com/view?id=b35a58fcca7bea817aa00b4b1a0ae23ad&lang=en&src=listed,Legal Balance,2024-09-20 16:18:36+03:00,Nasdaq Baltic,,
Changes in Iute Group's financial calendar for 2024,https://view.news.eu.nasdaq.com/view?id=b0fc1b847b8024811bffb324f6b0b9af1&lang=en&src=listed,IuteCredit Finance S.a r.l,2024-09-20 11:30:00+03:00,Nasdaq Baltic,,
Prolongation of authorities of members of the Supervisory Board of KIA Auto Aktsiaselts,https://view.news.eu.nasdaq.com/view?id=ba4e3c9ea89f2446dbf568dabbbae376d&lang=en&src=listed,TKM Grupp,2024-09-20 09:45:00+03:00,Nasdaq Baltic,,
Notice of address change for IPAS “Indexo” and INDEXO Bank,https://view.news.eu.nasdaq.com/view?id=b1a4b99f1352cea3bf703e243e9c8b61d&lang=en&src=listed,INDEXO,2024-09-20 09:15:38+03:00,Nasdaq Baltic,,
On Transactions Under Regulation No 596/2014,https://view.news.eu.nasdaq.com/view?id=b74a8ae6c489a7fa86faf41b6a75435b7&lang=en&src=listed,MADARA Cosmetics,2024-09-20 08:46:15+03:00,Nasdaq Baltic,,
