issuer,ticker,yf_ticker,isin,asset_class,exchange,exchange_code,country,url
Punktid Technologies,PNKTD,PNKTD.RG,,equity,nasdaq_baltics,RSE,EE,
SAF Tehnika,SAF1R,SAF1R.RG,,equity,nasdaq_baltics,RSE,LV,
Saunum Group,SAUNA,SAUNA.RG,,equity,nasdaq_baltics,RSE,EE,
Frigate,FRGTE  ,FRGTE.RG  ,,equity,nasdaq_baltics,RSE,LV,
BluOr Bank,BORA070029A  ,N/A,,bonds,nasdaq_baltics,RSE,LV,https://nasdaqbaltic.com/statistics/en/instrument/LV0000802569/trading
CleanR Grupa,CRGBFLOT25FA  ,N/A,LV0000802676,bonds,nasdaq_baltics,RSE,LV,https://nasdaqbaltic.com/statistics/en/instrument/LV0000802676/trading
Enefit Green,EGR1T,EGR1T.TL,,equity,nasdaq_baltics,TAL,EE,
DelfinGroup,DGR1R,DGR1R.RG,,equity,nasdaq_baltics,RSE,LV,
Altum,ALTM,N/A,,equity,nasdaq_baltics,VSE,LT,https://nasdaqbaltic.com/statistics/en/instrument/LV0000880037/trading
Partnerystes projektai keturi,PP4B090026A  ,N/A,,bonds,nasdaq_baltics,VSE,LT,https://nasdaqbaltic.com/statistics/en/instrument/LT0000407561/trading
Nordecon,NCN1T,NCN1T.TL,,equity,nasdaq_baltics,TAL,EE,https://www.nasdaqbaltic.com/statistics/en/instrument/EE3100039496/trading
EfTEN Real Estate Fund,EFT1T,EFT1T.RG,,equity,nasdaq_baltics,,,
Novaturas,NTU1L,NTU1L.RG,,equity,nasdaq_baltics,,,
Baltic Horizon Fund / Northern Horizon Capital,NHCBHFFT,NHCBHFFT.RG,,equity,nasdaq_baltics,,,
Amber Latvijas balzams,BAL1R,BAL1R.RG,,equity,nasdaq_baltics,RSE,,
Robus Group,ROBUS,ROBUS.RG,,equity,nasdaq_baltics,RSE,EE,
Merko Ehitus,MRK1T,MRK1T.TL,,equity,nasdaq_baltics,TAL,EE,
Elmo Rent,ELMO,ELMO.RG,,equity,nasdaq_baltics,,EE,
MADARA Cosmetics,MDARA,MDARA.RG,,equity,nasdaq_baltics,,,
Eco Baltia,N/A,N/A,,equity,nasdaq_baltics,,,
Tallinna Vesi,TVE1T,TVE1T.TL,,equity,nasdaq_baltics,,,
Panevezio Statybos Trestas,PTR1L,PTR1L.VS,,equity,nasdaq_baltics,,,
EfTEN United Property Fund / EfTEN Capital,EFCUPFFT,N/A,,funds,nasdaq_baltics,,,
Longo Group,LONGO060024FA  ,N/A,,bonds,nasdaq_baltics,,,
INDEXO,IDX1R,IDX1R.RG,,equity,nasdaq_baltics,,,
Hestio,HEST045027FA  ,N/A,,bonds,nasdaq_baltics,RSE,LV,https://nasdaqbaltic.com/statistics/en/instrument/LV0000802650/trading
Rokiskio Suris,RSU1L,RSU1L.VS,,equity,nasdaq_baltics,VSE,LT,https://nasdaqbaltic.com/statistics/en/instrument/LT0000100372/trading
J.Molner,MOLNR  ,N/A,,equity,nasdaq_baltics,TAL,EE,https://nasdaqbaltic.com/statistics/en/instrument/EE3100109034/trading
Pieno Zvaigzdes,PZV1L,PZV1L.VS,,equity,nasdaq_baltics,,,
Apranga,APG1L,APG1L.VS,,equity,nasdaq_baltics,,,
Nter Asset Management,N/A,N/A,,equity,nasdaq_baltics,,,
Eleving Group,N/A,N/A,,equity,nasdaq_baltics,,,
Mainor Ulemiste,N/A,N/A,,equity,nasdaq_baltics,,,
iCotton,N/A,N/A,,equity,nasdaq_baltics,,,
Tuul Mobility,N/A,N/A,,equity,nasdaq_baltics,,,
Capitalica Baltic Real Estate Fund I,N/A,N/A,,equity,nasdaq_baltics,,,
