company,ticker
"ONCODESIGN PRECISION MEDICINE",OPM
"SWEDBANK AB",SWED
"Strømmen Sparebank",N/A
"NRJ GROUP",NRG
"REMY COINTREAU",RCO
"CLARANOVA",CLA
"STOLT-NIELSEN",SNI
"PBB",N/A
"Aker Horizons ASA",AKH
"Sparebanken Narvik",N/A
"AMUNDI PHYSICAL GOLD ETC",GOLD
"IDI",IDIP
"BEKAERT",BEKB
"ENSURGE MICROPOWER ASA",ENSU
"STANDARD SUPPLY AS",SSPU
"DELFINGEN INDUSTRY",ALDEL
"Kvinesdal Sparebank",N/A
"BLACK SEA PROPERTY",BSPSA
"UMICORE",UMI
"TOTALENERGIES",TTE
"SCANA",SCANA
"HOPSCOTCH GROUPE",HOP
"NORSK HYDRO ASA",NHY
"Volda kommune",N/A
"BEERENBERG AS",BEEREN
"Høland og Setskog Sparebank",N/A
"CASINO GUICHARD",CO
"HEXAGON PURUS ASA",HPUR
"Sparebanken Møre",MORG
"Bane NOR Eiendom AS",N/A
"COOL COMPANY LTD.",COOL
"GROUPE BERKEM",ALKEM
"Olav Thon Eiendomsselskap ASA",OLT
"DELTA PLUS GROUP",ALDLT
"SBM OFFSHORE",SBMO
"Norwegian Air Shuttle ASA",NAS
"SØGNE OG GREIPSTAD SPAREBANK",N/A
"Mutares SE & Co. K 23/27 FRN EUR FLOOR C",N/A
"NORDIC AQUA PARTNERS AS",NOAP
"VAZIVA SA",ALVAZ
"EIFFAGE",FGR
"EQUASENS",EQS
"SOLOCAL GROUP",LOCAL
"Hawk Infinity Softw AS 23/28 FRN FLOOR C",N/A
"PARATUS ENERGY SERVICES LTD.",PASE
"VALLOUREC",VK
"XPLORA TECHNOLOGIES",XPLT
"FRONTLINE PLC",FRO
"Wallenius Wilhelmsen ASA",WAWI
"NORDIC UNMANNED ASA",NUMND
"EURONEXT",ENX
"HEXAOM",ALHEX
"BOUSSARD GAVAUDAN HOLD LTD GBP",BGHL
"MACOMPTA.FR",MLMAF
"RIBER",RIB
"VEON",VEON
"ATOS",ATO
"ARVERNE GROUP",MLARV
"SHELL PLC",SHELL
"Vegfinans Viken AS",N/A
"Tidewater Inc.",TDW
"ALTERNUS ENERGY GROUP PLC",ALT
"VINCI",DG
"ELIX Rental Housing SOCIMI II,",N/A
"ABIVAX",ABVX
"MCPHY ENERGY",MCPHY
"FORVIA",FRVIA
"PHOTOCURE",PHO
"Oslofjord Sparebank",N/A
"ECIT AS B-AKSJER",ECIT-B
"MON COURTIER ENERGIE GROUPE S.A.",ALMCE
"KLEA HOLDING",N/A
"AELIS FARMA",AELIS
"SES",SESG
"SpareBank 1 SMN",MING
"MIKO",MIKO
"ARTMARKET.COM(EX ARTPRICE.COM)",PRC
"NYKODE THERAPEUTICS ASA",NYKD
"COHERIS",COH
"Lea bank ASA",LBANK
"REALITES",ALREA
"Sparebanken Din",N/A
"WOLTERS KLUWER",WKL
"Schibsted ASA",SCHA
"Helgeland Kraft AS",N/A
"PERNOD RICARD",RI
"SALMON EVOLUTION ASA",SALME
"NEPI ROCKCASTLE N.V.",NRP
"D.L.S.I.",ALDSL
"EUROPLASMA",ALEUP
"Corticeira Amorim-SGPS",COR
"QUADIENT S.A.",QDT
"SPAREBANK 1 SØRØST-NORGE",SOAG
"Solis Bond Company 21/24 FRN EUR FLOOR C",N/A
"OTELLO CORPORATION",OTELLO
"NRC Group ASA",NRC
"KINGDOM OF NORWAY",N/A
"NETMEDIA GROUP",ALNMG
"MICHELIN",ML
"GROUPE SFPI",SFPI
"GROUPE LDLC",ALLDL
"ESSILORLUXOTTICA",EL
"-",N/A
"Global InterConnection Group Limited",N/A
"SpareBank 1 Østlandet",SPOL
"NFL BIOSCIENCES S.A.",ALNFL
"M.R.M",MRM
"Ørland Sparebank",N/A
"EXPLOSIFS PROD.CHI",EXPL
"VOW",VOW
"SMCP",SMCP
"ADVINI",ALDV
"POLIGHT",PLT
"KNOX ENERGY SOLUTIONS AS",N/A
"Seacrest Petroleo Bermuda Limi",N/A
"AKER BP",AKRBP
"I2S",ALI2S
"FIPP",FIPP
"ARCTIC BIOSCIENCE AS",ABS
"EXACOMPTA CLAIREFONTAINE",EXAC
"Agder Sparebank",N/A
"NYXOAH SA",NYXH
"AKOBO MINERALS AB (PUB)",AKOBO
"SYENSQO",SYN
"Steinkjerbygg Kf",N/A
"EXACT THERAPEUTICS",EXTX
"SpareBank 1 SR-Bank ASA",SRBNK
"UMALIS GROUP",MLUMG
"FARMINVESTE",FNVB
"DNB BANK ASA",DNB
"Å Energi AS",N/A
"ESSO",ES
"CRCAM BRIE PIC2CCI",CRBP2
"LIFECARE ASA",LIFE
"TME PHARMA",TME
"Tomra Systems ASA",TOM
"Norwegian Property ASA",NPRO
"RENAULT",RNO
"Felleskjøpet Agri SA",N/A
"SOLVAY",SOLB
"SYNERGIE",SDG
"PRECIA",PREC
"BERGEN CARBON SOLUTIONS AS",BCS
"Zalaris ASA",ZAL
"Oslo Kommune",N/A
"SCHNEIDER ELECTRIC SE",SU
"INVENTIVA",IVA
"CARBIOS",ALCRB
"Archer Norge AS 23/27 FRN USD FLOOR C",N/A
"NEL",NEL
"CLEAN SEAS SEAFOOD LIMITED",CSS
"Kistos Energy (Norway) AS",N/A
"Omda AS",N/A
"Statnett SF",N/A
"BORR DRILLING",BORR
"ABL GROUP ASA",ABL
"BlueNord ASA",BNOR
"Brage Finans AS",N/A
"ORANGE",ORA
"AVENTADOR",N/A
"EASE2PAY NV",EAS2P
"Whitworth Midco Plc",N/A
"Boussard Gavaudan",BGHL
"KERLINK",ALKLK
"Sparebanken Sør",N/A
"CARE PROPERTY INVEST",CPINV
"BE Semiconductor Industries N.V.",BESI
"Eviny AS",N/A
"ELOPAK ASA",ELO
"EAM SOLAR AS",EAM
"Spareskillingsbanken",N/A
"VIVENDI SE",VIV
"BILENDI",ALBLD
"ROMREAL",ROM
"OSMOSUN S.A.",ALOSO
"Sunnhordland Kraftlag AS",N/A
"Gjensidige Forsikring ASA",GJF
"MPC CONTAINER SHIPS",MPCC
"NEKKAR",NKR
"BALTIC SEA PROPERTIES",BALT
"AUREA",AURE
"SALMONES CAMANCHACA S.A.",SALMON
"INTEXA",ITXT
"JACQUET METALS",JCQ
"Extenda Retail AB 22/27 FRN SEK FLOOR C",N/A
"Trøndelag Sparebank",N/A
"ATLANTIC SAPPHIRE",ASA
"NOVABASE SGPS S.A.",NBA
"TIKEHAU CAPITAL",TKO
"HAFNIA LIMITED",HAFNI
