issuer,ticker,yf_ticker,isin,asset_class,exchange,exchange_code,country,url
21Shares Bitcoin ETP - ABTC,ABTC,ABTC.PA,CH0454664001,ETP,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/etfs/CH0454664001-XPAR/market-information
2CRSi S.A,AL2SI,AL2SI.PA,FR0013341781,equity,Euronext Growth Paris,ALXP,FRA,https://live.euronext.com/en/product/equities/FR0013341781-ALXP/market-information
ABG SUNDAL COLLIER HOLDING,ABG,ABG.OL,NO0003021909,equity,Oslo Børs,XOSL,NOR,https://live.euronext.com/en/product/equities/NO0003021909-XOSL/market-information
ABIONYX PHARMA,ABNX,ABNX.PA,FR0012616852,equity,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/equities/FR0012616852-XPAR/market-information
ABIVAX,ABVX,ABVX.PA,FR0012333284,equity,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/equities/FR0012333284-XPAR/market-information
ABL GROUP ASA,ABL,ABLO.OL,NO0010715394,equity,Oslo Børs,XOSL,NOR,https://live.euronext.com/en/product/equities/NO0010715394-XOSL/market-information
AB SCIENCE,AB,AB.PA,FR0010557264,equity,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/equities/FR0010557264-XPAR/market-information
ADVINI,ALAVI,ALAVI.PA,FR0000053043,equity,Euronext Growth Paris,ALXP,FRA,https://live.euronext.com/en/product/equities/FR0000053043-ALXP/market-information
AEDIFICA,AED,AED.BR,BE0003851681,equity,Euronext Brussels,XBRU,BEL,https://live.euronext.com/en/product/equities/BE0003851681-XBRU/market-information
AELIS FARMA,AELIS,AELIS.PA,FR0014007ZB4,equity,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/equities/FR0014007ZB4-XPAR/market-information
Å Energi AS,N/A,N/A,NO0010894371,bonds,Oslo Børs,XOSL,NOR,https://live.euronext.com/en/product/bonds/no0010894371-xosl
AGEAS,AGS,AGS.BR,BE0974264930,equity,Euronext Brussels,XBRU,BEL,https://live.euronext.com/en/product/equities/BE0974264930-XBRU/market-information
AKER BP,AKRBP,AKRBP.OL,NO0010345853,equity,Oslo Børs,XOSL,NOR,https://live.euronext.com/en/product/equities/NO0010345853-XOSL/market-information
Aker Horizons ASA,AKH,AKH.OL,NO0010921232,equity,Oslo Børs,XOSL,NOR,https://live.euronext.com/en/product/equities/NO0010921232-XOSL/market-information
AKOBO MINERALS AB (PUB),AKOBO,AKOBO.OL,SE0015193412,equity,Euronext Growth Oslo,MERK,NOR,https://live.euronext.com/en/product/equities/SE0015193412-MERK/market-information
ALPES (COMPAGNIE),CDA,CDA.PA,FR0000053324,equity,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/equities/FR0000053324-XPAR/market-information
ALSTOM,ALO,ALO.PA,FR0010220475,equity,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/equities/FR0010220475-XPAR/market-information
ALTERNUS ENERGY GROUP PLC,ALT,ALT.OL,IE00BLRPRP89,equity,Euronext Growth Oslo,MERK,NOR,https://live.euronext.com/en/product/equities/IE00BLRPRP89-MERK/market-information
ALUMEXX N.V.,ALX,ALX.AS,NL0012194724,equity,Euronext Amsterdam,XAMS,NL,https://live.euronext.com/en/product/equities/NL0012194724-XAMS/market-information
AMUNDI ,AMUN,AMUN.PA,FR0004125920,equity,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/equities/FR0004125920-XPAR/market-information
ANTIN INFRASTRUCTURE PARTNERS,ANTIN,ANTIN.PA,FR0014005AL0,equity,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/equities/FR0014005AL0-XPAR/market-information
ARCADIS,ARCAD,ARCAD.AS,NL0006237562,equity,Euronext Amsterdam,XAMS,NL,https://live.euronext.com/en/product/equities/NL0006237562-XAMS/market-information
Archer,ARCH,ARCH.OL,BMG0451H2087,equity,Oslo Børs,XOSL,NOR,https://live.euronext.com/en/product/equities/BMG0451H2087-XOSL/market-information
ARCTIC BIOSCIENCE AS,ABS,ABS.OL,NO0010859580,equity,Euronext Growth Oslo,MERK,NOR,https://live.euronext.com/en/product/equities/NO0010859580-MERK/market-information
ARTMARKET.COM(EX ARTPRICE.COM),PRC,PRC.PA,FR0000074783,equity,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/equities/FR0000074783-XPAR/market-information
ARVERNE GROUP,ARVEN,ARVEN.PA,FR001400JWR8,equity,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/equities/FR001400JWR8-XPAR/market-information
