issuer,ticker,yf_ticker,isin,asset_class,exchange,exchange_code,country,url
Punktid Technologies,PNKTD,PNKTD.RG,EE3100089160,equity,nasdaq_baltics,RSE,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE3100089160/trading
SAF Tehnika,SAF1R,SAF1R.RG,LV0000101129,equity,nasdaq_baltics,RSE,LV,https://nasdaqbaltic.com/statistics/et/instrument/LV0000101129/trading
Saunum Group,SAUNA,SAUNA.RG,EE3100019753,equity,nasdaq_baltics,RSE,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE3100019753/trading
Frigate,FRGTE,FRGTE.RG,LV0000101665,equity,nasdaq_baltics,RSE,LV,https://www.nasdaqbaltic.com/statistics/en/instrument/LV0000101665/trading
BluOr Bank,BORA070029A,N/A,LV0000802569,bonds,nasdaq_baltics,RSE,LV,https://nasdaqbaltic.com/statistics/en/instrument/LV0000802569/trading
CleanR Grupa,CRGBFLOT25FA,N/A,LV0000802676,bonds,nasdaq_baltics,RSE,LV,https://nasdaqbaltic.com/statistics/en/instrument/LV0000802676/trading
Enefit Green,EGR1T,EGR1T.TL,EE3100137985,equity,nasdaq_baltics,TAL,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE3100137985/trading
DelfinGroup,DGR1R,DGR1R.RG,LV0000101806,equity,nasdaq_baltics,RSE,LV,https://nasdaqbaltic.com/statistics/et/instrument/LV0000101806/trading
Altum,ALTM,N/A,,bonds,nasdaq_baltics,VSE,LT,https://nasdaqbaltic.com/statistics/en/instrument/LV0000880037/trading
Partnerystes projektai keturi,PP4B090026A,N/A,,bonds,nasdaq_baltics,VSE,LT,https://nasdaqbaltic.com/statistics/en/instrument/LT0000407561/trading
Nordecon,NCN1T,NCN1T.TL,EE3100039496,equity,nasdaq_baltics,TAL,EE,https://www.nasdaqbaltic.com/statistics/en/instrument/EE3100039496/trading
EfTEN Real Estate Fund,EFT1T,EFT1T.TL,EE3100127242,equity,nasdaq_baltics,TAL,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE3100127242/trading
Novaturas,NTU1L,NTU1L.VS,LT0000131872,equity,nasdaq_baltics,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000131872/trading
Baltic Horizon Fund / Northern Horizon Capital,NHCBHFFT,NHCBHFFT.TL,EE3500110244,equity,nasdaq_baltics,TAL,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE3500110244/trading?date=2024-10-07
Amber Latvijas balzams,BAL1R,BAL1R.RG,LV0000100808,equity,nasdaq_baltics,RSE,LV,https://nasdaqbaltic.com/statistics/et/instrument/LV0000100808/trading
