issuer,ticker,yf_ticker,isin,asset_class,exchange,exchange_code,country,url
Fortress Biotech,FBIO,FBIO,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/FBIO:NASDAQ
Kineta,KA,KA,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/KA:NASDAQ
QIAGEN,QGEN,QGEN,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/QGEN:NASDAQ
Dyadic International,DYAI,DYAI,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/DYAI:NASDAQ
Jasper Therapeutics,JSPR,JSPR,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/JSPR:NASDAQ
AnaptysBio,ANAB,ANAB,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ANAB:NASDAQ
electroCore,ECOR,ECOR,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ECOR:NASDAQ
Eloxx Pharmaceuticals,ELOX,ELOX,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ELOX:NASDAQ
MediWound,MDWD,MDWD,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/MDWD:NASDAQ
Radiopharm Theranostics,RAD.AX,RAD.AX,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/RAD.AX:NASDAQ
Eyenovia,EYEN,EYEN,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/EYEN:NASDAQ
PolyPid,PYPD,PYPD,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/PYPD:NASDAQ
Scilex Holding Company,SCLX,SCLX,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/SCLX:NASDAQ
Talaris Therapeutics,TALS,TALS,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/TALS:NASDAQ
Science 37,SNCE,SNCE,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/SNCE:NASDAQ
ORIC Pharmaceuticals,ORIC,ORIC,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ORIC:NASDAQ
T2 Biosystems,TTOO,TTOO,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/TTOO:NASDAQ
Addex Therapeutics,ADXN,ADXN,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ADXN:NASDAQ
ARS Pharmaceuticals,SPRY,SPRY,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/SPRY:NASDAQ
Imunon,IMNN,IMNN,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/IMNN:NASDAQ
Aditxt,ADTX,ADTX,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ADTX:NASDAQ
Ocuphire Pharma,OCUP,OCUP,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/OCUP:NASDAQ
Arcutis Biotherapeutics,ARQT,ARQT,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ARQT:NASDAQ
Immunocore,IMCR,IMCR,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/IMCR:NASDAQ
Orphazyme,ORPHA.CO,ORPHA.CO,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ORPHA.CO:NASDAQ
Vir Biotechnology,VIR,VIR,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/VIR:NASDAQ
DBV Technologies,DBVT,DBVT,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/DBVT:NASDAQ
ImmuCell Corporation,ICCC,ICCC,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ICCC:NASDAQ
Oncternal Therapeutics,ONCT,ONCT,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ONCT:NASDAQ
Alvotech,ALVO,ALVO,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ALVO:NASDAQ
Evaxion Biotech,EVAX,EVAX,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/EVAX:NASDAQ
Coherus BioSciences,CHRS,CHRS,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/CHRS:NASDAQ
Mainz Biomed,MYNZ,MYNZ,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/MYNZ:NASDAQ
scPharmaceuticals,SCPH,SCPH,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/SCPH:NASDAQ
Medi-Adapt Innovations,MDAI,MDAI,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/MDAI:NASDAQ
Biora Therapeutics,BIOR,BIOR,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/BIOR:NASDAQ
Mineralys Therapeutics,MLYS,MLYS,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/MLYS:NASDAQ
Longeveron,LGVN,LGVN,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/LGVN:NASDAQ
Biomerica,BMRA,BMRA,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/BMRA:NASDAQ
Kronos Bio,KRON,KRON,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/KRON:NASDAQ
Cidara Therapeutics,CDTX,CDTX,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/CDTX:NASDAQ
Intellia Therapeutics,NTLA,NTLA,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/NTLA:NASDAQ
Tiziana Life Sciences,TLSA,TLSA,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/TLSA:NASDAQ
PCI Biotech Holding,PCIB.OL,PCIB.OL,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/PCIB.OL:NASDAQ
Santhera Pharmaceuticals,SANN.SW,SANN.SW,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/SANN.SW:NASDAQ
Immuneering,IMRX,IMRX,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/IMRX:NASDAQ
OpGen,OPGN,OPGN,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/OPGN:NASDAQ
TG Therapeutics,TGTX,TGTX,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/TGTX:NASDAQ
Vascular Biogenics,VBLT,VBLT,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/VBLT:NASDAQ
Annovis Bio,ANVS,ANVS,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ANVS:NASDAQ
Adagene,ADAG,ADAG,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ADAG:NASDAQ
IN8bio,INAB,INAB,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/INAB:NASDAQ
Pacira BioSciences,PCRX,PCRX,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/PCRX:NASDAQ
BioAtla,BCAB,BCAB,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/BCAB:NASDAQ
Windtree Therapeutics,WINT,WINT,,equity,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/WINT:NASDAQ
