issuer,ticker,yf_ticker,isin,asset_class,sector,exchange,exchange_code,country,url
"ACM Research, Inc.",ACMR,ACMR,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ACMR:NASDAQ
NVE Corporation,NVEC,NVEC,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/NVEC:NASDAQ
"PDF Solutions, Inc.",PDFS,PDFS,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/PDFS:NASDAQ
"Advanced Micro Devices, Inc.",AMD,AMD,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/AMD:NASDAQ
POET Technologies Inc.,POET,POET,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/POET:NASDAQ
"Solitron Devices, Inc.",SODI,SODI,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/SODI:NASDAQ
ASML Holding N.V.,ASML,ASML,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ASML:NASDAQ
"Micron Technology, Inc.",MU,MU,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/MU:NASDAQ
"Himax Technologies, Inc.",HIMX,HIMX,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/HIMX:NASDAQ
"Advanced Micro Devices, Inc.",AMD,AMD,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/AMD:NASDAQ
Dragonfly Energy Holdings Corp.,DFLI,DFLI,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/DFLI:NASDAQ
Unknown,ASMPT,ASMPT,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ASMPT:NASDAQ
NXP Semiconductors N.V.,NXPI,NXPI,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/NXPI:NASDAQ
"Allegro MicroSystems, Inc.",ALGM,ALGM,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ALGM:NASDAQ
"FormFactor, Inc.",FORM,FORM,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/FORM:NASDAQ
ASM International NV,ASM.AS,ASM.AS,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ASM.AS:NASDAQ
Silicon Motion Technology Corporation,SIMO,SIMO,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/SIMO:NASDAQ
QuickLogic Corporation,QUIK,QUIK,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/QUIK:NASDAQ
"Himax Technologies, Inc.",HIMX,HIMX,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/HIMX:NASDAQ
