event,accuracy,precision,recall,f1_score,auc_roc,test_sample,training_sample,total_sample,model_filename,vectorizer_filename
geographic_expansion,1.0,1.0,1.0,1.0,0.0,3,9,12,models/geographic_expansion_classifier_binary.joblib,models/geographic_expansion_tfidf_vectorizer_binary.joblib
business_contracts,1.0,1.0,1.0,1.0,0.0,4,14,18,models/business_contracts_classifier_binary.joblib,models/business_contracts_tfidf_vectorizer_binary.joblib
major_shareholder_announcements,1.0,1.0,1.0,1.0,0.0,3,10,13,models/major_shareholder_announcements_classifier_binary.joblib,models/major_shareholder_announcements_tfidf_vectorizer_binary.joblib
mergers_acquisitions,0.8333333333333334,1.0,0.8,0.8888888888888888,0.8,6,22,28,models/mergers_acquisitions_classifier_binary.joblib,models/mergers_acquisitions_tfidf_vectorizer_binary.joblib
regulatory_filings,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666667,10,38,48,models/regulatory_filings_classifier_binary.joblib,models/regulatory_filings_tfidf_vectorizer_binary.joblib
licensing_agreements,0.8,0.8,1.0,0.8888888888888888,1.0,5,17,22,models/licensing_agreements_classifier_binary.joblib,models/licensing_agreements_tfidf_vectorizer_binary.joblib
press_releases,0.75,0.75,1.0,0.8571428571428571,0.8333333333333334,8,31,39,models/press_releases_classifier_binary.joblib,models/press_releases_tfidf_vectorizer_binary.joblib
trade_show,0.6666666666666666,0.6666666666666666,1.0,0.8,0.0,3,11,14,models/trade_show_classifier_binary.joblib,models/trade_show_tfidf_vectorizer_binary.joblib
financing_agreements,0.6666666666666666,0.6,1.0,0.75,0.5833333333333334,12,47,59,models/financing_agreements_classifier_binary.joblib,models/financing_agreements_tfidf_vectorizer_binary.joblib
company_regulatory_filings,0.6666666666666666,0.6666666666666666,1.0,0.8,1.0,3,12,15,models/company_regulatory_filings_classifier_binary.joblib,models/company_regulatory_filings_tfidf_vectorizer_binary.joblib
partnerships,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7777777777777779,9,36,45,models/partnerships_classifier_binary.joblib,models/partnerships_tfidf_vectorizer_binary.joblib
voting_rights,0.6666666666666666,0.6666666666666666,1.0,0.8,0.25,3,11,14,models/voting_rights_classifier_binary.joblib,models/voting_rights_tfidf_vectorizer_binary.joblib
clinical_study,0.6470588235294118,0.651685393258427,0.9206349206349206,0.7631578947368421,0.6064306064306063,102,408,510,models/clinical_study_classifier_binary.joblib,models/clinical_study_tfidf_vectorizer_binary.joblib
financial_results,0.6470588235294118,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.5833333333333333,17,65,82,models/financial_results_classifier_binary.joblib,models/financial_results_tfidf_vectorizer_binary.joblib
product_services_announcement,0.6153846153846154,0.6153846153846154,1.0,0.7619047619047619,0.525,13,48,61,models/product_services_announcement_classifier_binary.joblib,models/product_services_announcement_tfidf_vectorizer_binary.joblib
annual_general_meeting,0.5714285714285714,0.5,0.3333333333333333,0.4,0.5833333333333333,7,27,34,models/annual_general_meeting_classifier_binary.joblib,models/annual_general_meeting_tfidf_vectorizer_binary.joblib
corporate_action,0.5555555555555556,0.5714285714285714,0.8,0.6666666666666666,0.65,9,36,45,models/corporate_action_classifier_binary.joblib,models/corporate_action_tfidf_vectorizer_binary.joblib
conference_call_webinar,0.5348837209302325,0.5454545454545454,0.782608695652174,0.6428571428571429,0.5576086956521739,43,172,215,models/conference_call_webinar_classifier_binary.joblib,models/conference_call_webinar_tfidf_vectorizer_binary.joblib
earnings_releases_and_operating_results,0.5333333333333333,0.6666666666666666,0.6,0.631578947368421,0.53,15,59,74,models/earnings_releases_and_operating_results_classifier_binary.joblib,models/earnings_releases_and_operating_results_tfidf_vectorizer_binary.joblib
changes_in_companys_own_shares,0.5,0.5,0.5,0.5,0.75,4,14,18,models/changes_in_companys_own_shares_classifier_binary.joblib,models/changes_in_companys_own_shares_tfidf_vectorizer_binary.joblib
exchange_announcement,0.4,0.6666666666666666,0.5,0.5714285714285714,0.5,5,20,25,models/exchange_announcement_classifier_binary.joblib,models/exchange_announcement_tfidf_vectorizer_binary.joblib
management_changes,0.4,0.38461538461538464,0.8333333333333334,0.5263157894736842,0.4444444444444444,15,57,72,models/management_changes_classifier_binary.joblib,models/management_changes_tfidf_vectorizer_binary.joblib
patents,0.4,0.5,0.6666666666666666,0.5714285714285714,0.5,5,20,25,models/patents_classifier_binary.joblib,models/patents_tfidf_vectorizer_binary.joblib
shares_issue,0.25,0.0,0.0,0.0,0.0,8,29,37,models/shares_issue_classifier_binary.joblib,models/shares_issue_tfidf_vectorizer_binary.joblib
