title,link,company,published_date,ai_summary,ai_topic,source,industry,publisher_topic
On Transactions Under Regulation No 596/2014,https://view.news.eu.nasdaq.com/view?id=b0d14dd0b2170addecf66d727d7b5dada&lang=en&src=listed,MADARA Cosmetics,2024-09-24 17:00:00+03:00,"Ladies and gentlemen, breaking news! AS MADARA Cosmetics is in the spotlight as Sustainability Manager Anete Vabule makes headlines with security transactions! This powerhouse, founded in 2006, is a leader in natural skincare, now trading on Nasdaq Baltic First North. The excitement is palpable—stay tuned for more action!",exchange_announcement,Nasdaq Baltic,,
Dividend payment ex-date of AS DelfinGroup,https://view.news.eu.nasdaq.com/view?id=b874cc20ce7f67c6fa650de64794f245e&lang=en&src=listed,DelfinGroup,2024-09-24 16:42:27+03:00,"Ladies and gentlemen, mark your calendars! AS DelfinGroup is setting the stage for a thrilling dividend payout of €0.0202 per share on October 1, 2024! Get in before the September 27 ex-date cutoff—only shareholders on the list will score this sweet profit from Q2 earnings!",ex_dividend_date,Nasdaq Baltic,,
Financial Data for the First Half of 2024 of “Capitalica Z114 Real Estate Fund”,https://view.news.eu.nasdaq.com/view?id=b054ae24132ec127ce1b824b05925bb01&lang=en&src=listed,CAPITALICA Z114 REAL ESTATE FUND,2024-09-24 16:40:55+03:00,"Ladies and gentlemen, in the heart of Vilnius, the Capitalica Z114 Real Estate Fund is making waves! They're gearing up to launch the ""Sand Offices,"" a stunning 7-story business center set to redefine commercial real estate with 10,200 square meters of prime space. Stay tuned for this exciting development!",capital_investment,Nasdaq Baltic,,
Tallinna Vesi: the electricity price increase changes the price of water services by one cent,https://view.news.eu.nasdaq.com/view?id=b3ac48627c20e61f72257dfa5edd87c08&lang=en&src=listed,Tallinna Vesi,2024-09-24 15:22:10+03:00,"In a shocking turn of events, Tallinna Vesi is stepping up to the challenge as rising electricity costs push them to revise water service prices! Starting November 1, expect an increase of just one cent per cubic meter—making waves in the water sector as they navigate this shocking surge!",regulatory_filings,Nasdaq Baltic,,
Listing of AS DelfinGroup bonds on Baltic Bond List,https://view.news.eu.nasdaq.com/view?id=bae8d499783bc34945de65180570cb4cb&lang=en&src=notices,Nasdaq Riga,2024-09-24 14:43:08+03:00,"In a thrilling move, Nasdaq Riga just announced that AS DelfinGroup bonds will hit the Baltic Bond list starting September 25, 2024! Get ready for an exciting investment opportunity—check out the prospectus for all the game-changing details! Stay tuned for more action from Nasdaq Baltic!",bond_fixing,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 23, 2024",https://view.news.eu.nasdaq.com/view?id=baf58824862a5f881196bab6c6009b0ff&lang=en&src=listed,Nter Asset Management,2024-09-24 09:39:47+03:00,"Live from Vilnius! The OMX Baltic Benchmark Fund closes at an exciting 12.5617 EUR, but with no shares issued or redeemed on the board! A total of 125,362 units ready for the market. What a thrilling day in the world of investment! Stay tuned!",fund_data_announcement,Nasdaq Baltic,,
EfTEN REAL ESTATE FUND AS NOTICE CALLING THE EXTRAORDINARY GENERAL MEETING OF SHAREHOLDERS,https://view.news.eu.nasdaq.com/view?id=b985c5b1cbfc4b27f0a1490e6bb083658&lang=en&src=listed,EfTEN Real Estate Fund,2024-09-24 08:00:00+03:00,"Ladies and gentlemen, mark your calendars! On October 16, 2024, the EfTEN Real Estate Fund is hosting an extraordinary general meeting at the Radisson Collection Hotel in Tallinn! Get ready to register starting at 14:00 as we dive into key decisions! Don’t miss out—arrive on time and be part of the action!",calendar_of_events,Nasdaq Baltic,,
Eleving Group invites to the Investor calls on September 25 and October 2 regarding the IPO,https://view.news.eu.nasdaq.com/view?id=b6157319e5e2ba73a4b03b9238d9de608&lang=en&src=listed,Eleving Group,2024-09-23 15:07:13+03:00,"Ladies and gentlemen, mark your calendars! Eleving Group is gearing up for a thrilling Investor Call on September 25 and October 2! Join CEO Modestas Sudnius and CFO Maris Kreics as they unveil the company’s growth and IPO plans. Don’t miss the live Q&A—register now! ",initial_public_offering,Nasdaq Baltic,,
Margo Ojapervs joins CleanR Verso Board,https://view.news.eu.nasdaq.com/view?id=b4b957f7774d7465717b29e9e78113e71&lang=en&src=listed,CleanR Grupa,2024-09-23 14:57:09+03:00,"In a thrilling boardroom play, CleanR Verso announces a major shake-up! Aleksandrs Ugorenko steps down as chairman, making way for Margo Ojapervs, a production powerhouse, to join the management team. With Jānis Reinfelds’ strategic oversight, the company gears up to tackle the waste management game in the Baltics!",management_change,Nasdaq Baltic,,
UAB Partnerystės projektai keturi 2024 first half financial statements,https://view.news.eu.nasdaq.com/view?id=bbc47905db4ad38ec9c5cbad0a0560785&lang=en&src=listed,Partnerystes projektai keturi,2024-09-23 14:33:48+03:00,"In an electrifying first half of 2024, UAB Partnerystės projektai triumphantly hands over a major project to Lithuania's Ministry of National Defence! Mark your calendars for October 28's game-changing 50% repayment of Notes—investors, excitement is in the air! Compliance confirmed! What a season it’s shaping up to be!",financial_results,Nasdaq Baltic,,
