published_date,company,title,link,industry,publisher_topic,publisher
"25 Sep 2024
08:18 CEST",Norwegian Air Shuttle ASA,NOTIFICATION OF MAJOR HOLDINGS,https://live.euronext.com/en/products/equities/company-news/2024-09-25-notification-major-holdings-0,40501010 Airlines,Major shareholding notifications,Euronext
"25 Sep 2024
08:16 CEST",Schibsted ASA,NOTIFICATION OF MAJOR HOLDINGS,https://live.euronext.com/en/products/equities/company-news/2024-09-25-notification-major-holdings,10101020 Consumer Digital Services,Major shareholding notifications,Euronext
"25 Sep 2024
08:06 CEST",Kistos Energy (Norway) AS,Kistos Holdings plc - interim results for the period to 30 June 2024,https://live.euronext.com/en/products/equities/company-news/2024-09-25-kistos-holdings-plc-interim-results-period-30-june-2024,-,Non-regulatory press releases,Euronext
"25 Sep 2024
08:01 CEST",-,CNP Assurances’ shareholding in CNP UniCredit Vita,https://live.euronext.com/en/products/equities/company-news/2024-09-25-cnp-assurances-shareholding-cnp-unicredit-vita,-,"Mergers, Acquiqitions, Transferts",Euronext
"25 Sep 2024
08:01 CEST",-,Participation de CNP Assurances dans CNP UniCredit Vita,https://live.euronext.com/fr/products/equities/company-news/2024-09-25-participation-cnp-assurances-dans-cnp-unicredit-vita,-,"Mergers, Acquiqitions, Transferts",Euronext
"25 Sep 2024
08:00 CEST",ARCTIC BIOSCIENCE AS,Arctic Bioscience - New cellular research showing anti-psoriatic effects,https://live.euronext.com/en/products/equities/company-news/2024-09-25-arctic-bioscience-new-cellular-research-showing-anti,45102020 Food Products,Non-regulatory press releases,Euronext
"25 Sep 2024
08:00 CEST",ARCTIC BIOSCIENCE AS,Arctic Bioscience - Ny celleforskning viser anti-psoriatiske effekter,https://live.euronext.com/nb/products/equities/company-news/2024-09-25-arctic-bioscience-ny-celleforskning-viser-anti,45102020 Food Products,Ikke-informasjonspliktige pressemeldinger,Euronext
"25 Sep 2024
08:00 CEST",MICHELIN,"Michelin : Disclosure of trading in own shares - September 25, 2024",https://live.euronext.com/en/products/equities/company-news/2024-09-25-michelin-disclosure-trading-own-shares-september-25-2024,40101015 Tires,Share history,Euronext
"25 Sep 2024
08:00 CEST",SpareBank 1 SMN,Buy-back of Additional Tier 1: MING95 PRO (ISIN: NO0010865660) and MING86 PRO (ISIN: NO0010814684),https://live.euronext.com/en/products/equities/company-news/2024-09-25-buy-back-additional-tier-1-ming95-pro-isin-no0010865660,30101010 Banks,Additional regulated information required to be disclosed under the laws of a Member State,Euronext
"25 Sep 2024
08:00 CEST",Wallenius Wilhelmsen ASA,Wallenius Wilhelmsen ASA: Ex Dividend totalling USD 1.07 today,https://live.euronext.com/en/products/equities/company-news/2024-09-25-wallenius-wilhelmsen-asa-ex-dividend-totalling-usd-107,50206030 Marine Transportation,Ex Date,Euronext
"25 Sep 2024
08:00 CEST",MON COURTIER ENERGIE GROUPE S.A.,Mon courtier énergie groupe s’implante en Belgique et étend son réseau international,https://live.euronext.com/fr/products/equities/company-news/2024-09-25-mon-courtier-energie-groupe-simplante-en-belgique-et,50205020 Professional Business Support Services,Products and services,Euronext
"25 Sep 2024
08:00 CEST",RIBER,RIBER : Résultats du premier semestre 2024,https://live.euronext.com/fr/products/equities/company-news/2024-09-25-riber-resultats-du-premier-semestre-2024,10102010 Semiconductors,Income,Euronext
"25 Sep 2024
08:00 CEST",MICHELIN,Michelin : Déclaration des transactions sur actions propres - 25 Septembre 2024,https://live.euronext.com/fr/products/equities/company-news/2024-09-25-michelin-declaration-transactions-sur-actions-propres-25,40101015 Tires,Share history,Euronext
"25 Sep 2024
08:00 CEST",SpareBank 1 SMN,Tilbakekjøp av Fondsobligasjonslån: MING95 PRO (ISIN: NO0010865660) og MING86 PRO (ISIN: NO0010814684),https://live.euronext.com/nb/products/equities/company-news/2024-09-25-tilbakekjop-av-fondsobligasjonslan-ming95-pro-isin,30101010 Banks,Annen informasjonspliktig regulatorisk informasjon,Euronext
"25 Sep 2024
08:00 CEST",IDI,Résultats semestriels 2024 - ANR par action stable - Fonds propres consolidés : 700M€,https://live.euronext.com/fr/products/equities/company-news/2024-09-25-resultats-semestriels-2024-anr-par-action-stable-fonds,30204000 Closed End Investments,General meeting / Board Meeting,Euronext
"25 Sep 2024
08:00 CEST",MON COURTIER ENERGIE GROUPE S.A.,Mon Courtier Energie Groupe Opens in Belgium and Extends Its International Network,https://live.euronext.com/en/products/equities/company-news/2024-09-25-mon-courtier-energie-groupe-opens-belgium-and-extends-its,50205020 Professional Business Support Services,Products and services,Euronext
"25 Sep 2024
08:00 CEST",RIBER,RIBER: 2024 first-half earnings,https://live.euronext.com/en/products/equities/company-news/2024-09-25-riber-2024-first-half-earnings,10102010 Semiconductors,Income,Euronext
"25 Sep 2024
07:45 CEST",ORANGE,"Press release: Orange intends to voluntarily delist from the NYSE, deregister with the SEC, and launch a consent solicitation in relation to certain outstanding notes",https://live.euronext.com/en/products/equities/company-news/2024-09-25-press-release-orange-intends-voluntarily-delist-nyse,15102015 Telecommunications Services,Corporate life,Euronext
"25 Sep 2024
07:45 CEST",ORANGE,"Communiqué : Orange annonce son intention de se retirer du NYSE, de se désenregistrer auprès de la Securities and Exchange Commission américaine et de solliciter l’accord des porteurs de certains titres de dette en circulation",https://live.euronext.com/fr/products/equities/company-news/2024-09-25-communique-orange-annonce-son-intention-se-retirer-du,15102015 Telecommunications Services,Corporate life,Euronext
"25 Sep 2024
07:30 CEST",Boussard Gavaudan,BGHL (EUR): NAV(s),https://live.euronext.com/en/products/equities/company-news/2024-09-25-bghl-eur-navs,30204000 Closed End Investments,Other subject,Euronext
"25 Sep 2024
07:30 CEST",BOUSSARD GAVAUDAN HOLD LTD GBP,BGHL (GBP): NAV(s),https://live.euronext.com/en/products/equities/company-news/2024-09-25-bghl-gbp-navs,30204000 Closed End Investments,Other subject,Euronext
"25 Sep 2024
07:30 CEST",STANDARD SUPPLY AS,Standard Supply AS: Key information relating to proposed extraordinary cash dividend,https://live.euronext.com/en/products/equities/company-news/2024-09-25-standard-supply-key-information-relating-proposed,50206030 Marine Transportation,Additional regulated information required to be disclosed under the laws of a Member State,Euronext
"25 Sep 2024
07:00 CEST",MPC CONTAINER SHIPS,MPCC Continues Fleet Renewal and Secures Attractive Charter,https://live.euronext.com/en/products/equities/company-news/2024-09-25-mpcc-continues-fleet-renewal-and-secures-attractive,50206030 Marine Transportation,Non-regulatory press releases,Euronext
