Date,Company,Category,Headline,Link
2024-09-23 16:30:00,Hemnet Group AB,Changes in company's own shares,"Buy-back of shares in Hemnet during 16 - 20 September, 2024",https://view.news.eu.nasdaq.com/view?id=bcf483a668f79758a54d7e3dcf47734a8&lang=en&src=listed
2024-09-23 16:19:55,Pandora A/S,Changes in company's own shares,Transactions in connection with share buyback programme,https://view.news.eu.nasdaq.com/view?id=ba600ab7f0c3eb99d715aa46e479c7274&lang=en&src=listed
2024-09-23 16:15:00,Impala BondCo PLC,Interim information,Impala Bondco plc - Approval of written procedure to extend a waiver in respect of a condition in the terms and conditions of the bonds,https://view.news.eu.nasdaq.com/view?id=b5f181454dfe07191ae4bfc590b0c50a1&lang=en&src=listed
2024-09-23 16:15:00,Novedo Holding AB,Other information disclosed according to the rules of the Exchange,"Novedo has completed the issuance of senior secured bonds of SEK 1,250 million and carries out early redemption of existing bond loan",https://view.news.eu.nasdaq.com/view?id=b734b314f1235de65f8a16411e43eddb1&lang=en&src=listed
2024-09-23 15:45:00,Innofactor Oyj,Managers' Transactions,Innofactor Plc: Managers' Transactions,https://view.news.eu.nasdaq.com/view?id=b779e6c26b5a05ec919c77fc2189b7f17&lang=en&src=listed
2024-09-23 15:45:00,Innofactor Oyj,Managers' Transactions,Innofactor Plc: Managers' Transactions,https://view.news.eu.nasdaq.com/view?id=bd75fa3a0277453b70188ae5f7558309c&lang=en&src=listed
2024-09-23 15:45:00,Innofactor Oyj,Managers' Transactions,Innofactor Plc: Managers' Transactions,https://view.news.eu.nasdaq.com/view?id=b29d4a69e046986b0cedc504f05e34ac1&lang=en&src=listed
2024-09-23 15:32:58,Royal Bank of Canada,Prospectus/Announcement of Prospectus,Publication of a Prospectus,https://view.news.eu.nasdaq.com/view?id=b18b2feafd58a129278b39b50c4cc691e&lang=en&src=listed
2024-09-23 15:30:42,Trifork Group AG,Financial Calendar,38/2024・Trifork Group AG - Financial Calendar 2025,https://view.news.eu.nasdaq.com/view?id=b270388bebfebcc8f318a860a047349e2&lang=en&src=listed
2024-09-23 15:30:00,Kesko Oyj,Major shareholder announcements,Kesko Oyj: Arvopaperimarkkinalain 9 luvun 10 pykälän mukainen ilmoitus omistusosuuden muutoksesta (20.9.2024),https://view.news.eu.nasdaq.com/view?id=b473543d6769d43b0857217179e48984c&lang=fi&src=listed
2024-09-23 15:30:00,Kesko Oyj,Major shareholder announcements,"Kesko Corporation: Disclosure in compliance with Chapter 9, Section 10 of the Finnish Securities Markets Act (20.9.2024)",https://view.news.eu.nasdaq.com/view?id=b00ebd73f0cffa38ff14a11bd1aae9983&lang=en&src=listed
2024-09-23 15:30:00,Innofactor Oyj,Managers' Transactions,Innofactor Plc: Managers' Transactions,https://view.news.eu.nasdaq.com/view?id=b1337858261924199aa6bf438212e9c75&lang=en&src=listed
2024-09-23 15:30:00,Innofactor Oyj,Managers' Transactions,Innofactor Plc: Managers' Transactions,https://view.news.eu.nasdaq.com/view?id=bcbfc5864497de3420b7bced94610e36d&lang=en&src=listed
2024-09-23 15:25:00,Innofactor Oyj,Managers' Transactions,Innofactor Plc: Managers' Transactions - Risto Linturi,https://view.news.eu.nasdaq.com/view?id=b815783a6ae94909c935151235596b044&lang=en&src=listed
2024-09-23 15:22:00,Trelleborg AB,Changes in company's own shares,"Buybacks of shares of series B in Trelleborg during week 38, 2024",https://view.news.eu.nasdaq.com/view?id=b3c2fb500d692335ee3f597f9b28b8e18&lang=en&src=listed
2024-09-23 15:15:00,Neste Oyj,Major shareholder announcements,"Notification under Chapter 9, Section 10 of the Finnish Securities Market Act",https://view.news.eu.nasdaq.com/view?id=b869194e02cbb870103e5a7063b0e1383&lang=en&src=listed
